name,item_link,original_item_price,availability
Pelican Premium Sprint 120XR Kayak - 12',https://www.rei.com/product/153306/pelican-premium-sprint-120xr-kayak-12?redirect-pup=false,"$1,104.00",TRUE
Fiberglass paddles,https://www.rei.com/product/851528/aqua-bound-sting-ray-posi-lok-kayak-paddle-carbon-shaft?redirect-pup=false,$239.78,TRUE
Yeti Hopper Two 30,https://www.rei.com/product/228815/yeti-hopper-m30-20-soft-cooler?sku=2288150003&store=&CAWELAID=120217890017271447&CAGPSPN=pla&CAAGID=106321232389&CATCI=aud-1396942685715:pla-937439228300&cm_mmc=PLA_Google%7C21700000001700551_2288150003%7C92700056462435275%7CNB%7C71700000062011493&gad_source=1&gclid=CjwKCAjwyJqzBhBaEiwAWDRJVPk52ngTsuCShdI6cr0l8Wyv7ImxDmx6WgE6iCl3ODyQVtHiEb5YTBoCLocQAvD_BwE&gclsrc=aw.ds,$350.00,TRUE
Sea to Summit Dry Sacks - 3 small,https://www.rei.com/product/124300/sea-to-summit-lightweight-dry-sacks-set-of-3?redirect-pup=false,$32.19,TRUE
"2019 Womens, 54 CM, Cannondale, Synapse Carbon Disc Ultegra ",https://www.rei.com/product/165665/cannondale-synapse-carbon-disc-ultegra-womens-bike-2019?redirect-pup=false,"$2,519.73",TRUE
KEO Classic 3 pedals,https://www.rei.com/product/114407/look-keo-classic-3-pedals?redirect-pup=false,$70.00,TRUE
Bike Shorts,https://www.rei.com/product/169734/pearl-izumi-sugar-bike-shorts-womens?redirect-pup=false,$65.00,TRUE
Bontrager Sonic Road Bike Shoes,https://www.rei.com/product/152732/bontrager-sonic-road-bike-shoes-womens?redirect-pup=false,$150.00,TRUE
JetBoil BaseCamp Stove,https://www.rei.com/product/100060/jetboil-genesis-basecamp-system-camp-stove?redirect-pup=false,$399.95,TRUE
Cannondale Slate Disk Bike,https://www.rei.com/product/892470/cannondale-slate-disc-105-bike-2017?redirect-pup=false,"$1,738.83",TRUE
TRX Fit System,https://www.rei.com/product/193241/trx-fit-system-suspension-trainer,$99.95,TRUE
"Life Jacket, Mens S/M",https://www.rei.com/product/151165/stohlquist-drifter-pfd-mens?redirect-pup=false,$110.39,TRUE
Looped border shag rug 5'x8',https://www.westelm.com/customer-service/order-shipment-tracking/results.html?orderNumber=383043457209&postalCode=98117,$279.00,TRUE
Tall blue planter,https://www.westelm.com/customer-service/order-shipment-tracking/results.html?orderNumber=301023118005&postalCode=98119,$77.40,TRUE
Med white planter with stand,https://www.westelm.com/products/1906408/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$49.00,TRUE
"Dinnerware Stoneware, White",https://www.westelm.com/products/8747450/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$130.00,TRUE
King bed frame,https://www.westelm.com/products/1556833/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,"$1,329.05",TRUE
Leesa Hybrid Mattress,https://www.westelm.com/products/6526603/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,"$1,519.00",TRUE
Uma Faux Leather Dining Chair,https://www.westelm.com/products/9834200/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$179.00,TRUE
"Mattress pad protector, King",https://www.westelm.com/products/3919708/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$80.00,TRUE
Kids cash register,https://www.westelm.com/products/1528044/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$59.00,TRUE
Pilo Fabric Shaver,https://www.westelm.com/products/3220760/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$50.00,TRUE
Cumulus No. 3 Steamery,https://www.westelm.com/products/1447661/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$280.00,TRUE
Canvas Steel Basket,https://www.westelm.com/products/7950665/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$258.00,TRUE
Floating Suspension Floor Mirror,https://www.westelm.com/products/5432492/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$249.00,TRUE
"Nightstand, set of two ",https://www.westelm.com/products/9492957/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,$199.00,TRUE
Leather sectional,https://www.westelm.com/products/1397778/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,"$3,838.40",FALSE
"Table 72"" ",https://www.westelm.com/products/2121728/?cm_src=buyitagain&cm_sp=buyItAgain-_-orderDetails-_-link,"$1,299.00",TRUE
Science in the kitchen ,https://www.amazon.com/Science-Kitchen-Lorenzo-Italian-Library/dp/0802086578/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.f1T4PHheA8EGnOCxmoekhg.f_nFzXidT3KyC5jFBJwaCtVtk4D8Vy-uHY1KT0rrWfg&dib_tag=se&keywords=9780802086570&qid=1708477309&sr=8-1,$55.00,TRUE
Anova Seu Ve,https://www.amazon.com/Anova-Culinary-Precision-Bluetooth-Included/dp/B00UKPBXM4/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9._C35yb9O7XaKWSE-L5lJgw.miENa4KB4n4zAn-NdTzAtnHorYiN4L4A9bmKZ2s9w5I&dib_tag=se&keywords=851607006083&qid=1708478081&sr=8-1&ufe=app_do%3Aamzn1.fos.f5122f16-c3e8-4386-bf32-63e904010ad0,$247.00,TRUE
Google Nest,https://www.amazon.com/Google-Nest-Wifi-Router-Generation/dp/B07YMJ57MB/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.T9jK1IHpKpe-xLFZ8gRvMlEVJovN_c1AUBE0YI2z_wfGjHj071QN20LucGBJIEps.Ej5NNI4OcBdaplwBQ3lMoDfEe0Uo5328O0tNIFEdgwE&dib_tag=se&keywords=193575004662&qid=1708478265&sr=8-1,$50.00,TRUE
Makita hedger ,https://www.amazon.com/Makita-EN410MP-Double-Sided-Trimmer-Attachment/dp/B07BC5RLRD/ref=mp_s_a_1_1?dib=eyJ2IjoiMSJ9.tPAtcBAFxbhgf9oTRBi7Tg.fO2wVjnpdlQn9wKrFNmRB8PfOJmH-t_bNy8LvIvHrJU&dib_tag=se&keywords=088381466592&qid=1708550195&sr=8-1,$250.00,TRUE
Car jumper ,https://www.amazon.com/Type-Starters-Portable-Flashlight-USB/dp/B08XB2NL86/ref=mp_s_a_1_1_sspa?adgrpid=63135289343&dib=eyJ2IjoiMSJ9.6AM-6ZfQxZcmhVB3DvOYkbySBCXQD9zOMSVzFd5S1L9un_WP3Tc_H292ckXf9OIc6QUlLFz1LVQB7IhlJqnqAxtGPT3LHSCnTH2mdQV2FMRhHPTVW2Tpg0Usu3ZUzCEeK3mO2OntvRT4Tl8G36Y2lcdm3SbOnpImpyKq8b7GHX6BM0wYN0KC-udCJrlJ9BxbjQeFyw6qeFBn2BaQcIm-jQ.ShsH0XEdyjacFvCSp9yPK30BsdNQKu8HvK05ClCuUPo&dib_tag=se&hvadid=321622668385&hvdev=m&hvlocphy=9033292&hvnetw=g&hvqmt=b&hvrand=17738701976256345106&hvtargid=kwd-546402822719&hydadcr=18786_9444546&keywords=jump+starter+type+s&qid=1708553476&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRm&psc=1,$100.00,TRUE
Canon mirrorless ,https://www.bhphotovideo.com/c/product/1508687-REG/canon_3699c009_eos_m200_mirrorless_digital.html,$494.00,TRUE
Hurom Juicer,https://www.hurom.com/products/hz-slow-juicer,$479.20,TRUE
Benisouk Rug 8 x 10,https://benisouk.com/products/afta?variant=47433189392665,$912.80,TRUE
Therm-a-Rest: Regular Wide,https://www.rei.com/product/171686/therm-a-rest-trail-pro-sleeping-pad?redirect-pup=false,$139.95,TRUE
Thule: Kayak Rack,https://www.rei.com/product/130414/thule-hull-a-port-xt-kayak-rack?redirect-pup=false,$199.95,TRUE
Thule Key Lock Core,https://www.rei.com/product/159432/thule-one-key-lock-cores-package-of-4?redirect-pup=false,$59.95,TRUE
"Thule WingBar Evo Load - 47"" Pair",https://www.rei.com/product/151997/thule-wingbar-evo-load-bars-pair?redirect-pup=false,$219.95,TRUE
Thule Rapid Podium Foot Pack - Set of Four,https://www.rei.com/product/770057/thule-rapid-podium-foot-pack-set-of-four?redirect-pup=false,$219.95,TRUE
REI Flexlite Camp Boss Chair,https://www.rei.com/product/164383/rei-co-op-flexlite-camp-boss-chair?redirect-pup=false,$79.95,TRUE
Sea to Summit: Inflatable Pillow,https://www.rei.com/product/151400/sea-to-summit-aeros-premium-pillow?redirect-pup=false,$42.95,TRUE
Camping Knife Set,https://www.rei.com/product/129646/gsi-outdoors-santoku-knife-set?redirect-pup=false,$39.95,TRUE
Sea to Summit Comfort Light SI Sleeping Pad,https://www.rei.com/product/120234/sea-to-summit-comfort-light-si-sleeping-pad?redirect-pup=false,$139.00,TRUE
"Composter, Dual Chamber",https://www.homedepot.com/p/70-Gal-Green-Outdoor-Dual-Chamber-Steel-Compost-Tumbler-Bin-JK270A/326325505?cm_mmc=ecc-_-THD_ORDER_CONFIRMATION_BOSS_STH-_-V1_M1_CA-_-Product_URL&ecc_ord=WM48343070&em_id=6101f9c8db1f415bd890deae0aeae22023fc83a136e9943629bf1d606c07a555,$361.98,TRUE
Honeywell Humidifier,https://www.amazon.com/Honeywell-Humidifier-Medium-Gallon-White/dp/B002QAYJPO/ref=sr_1_4?crid=1QK9YCY51T57Y&dib=eyJ2IjoiMSJ9.CI0AsWRZGpbuTq_m9jLx7F1zptA1pb5DjU6eIWvj3a8MoC_EW5VvIceTq92WyFtPcLzhFS4KlkqiDneZVxp08eT4nEWHQ4P9QXCTustwYbrJ99kisHBlQYVCRTlIoqy8H9aGl3sYSNWmnBJwkmUkcRZlgXnSTByJA6KYJBd0TrGQvBZHCCPteTkoaJxgTibBsRODlspWelbIPf3DBwZJTUI4mDQMTZ2FMRdbm9iRw6XduGSxCCTdt_JGl9OEeJOKejQQqum4fPAAQUNaFi4VaYxw7l3z6SOoT7nnOcSelGw.umvN7E7c1UI8eH7wNuLktdYf5arry09KvuaxnN0VL4A&dib_tag=se&keywords=honeywell+humidifiers&qid=1718064033&s=home-garden&sprefix=Honeywell+hu%2Cgarden%2C252&sr=1-4,$80.00,TRUE
Berkey Water Filter,https://www.usaberkeyfilters.com/products/big-berkey-system-stand/,$375.00,TRUE
"Stihl, RB 200, Pressure Washer",https://www.mclendons.com/2884254/product/stihl-4789-012-4600,$649.00,TRUE
Canon Selphy Printer ,https://www.amazon.com/gp/product/B0195JC9D2/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1,$119.00,TRUE
SONOS Play : 1 Speaker ,https://www.amazon.com/Sonos-Play-Compact-Wireless-Speaker/dp/B00EWCUK1Q/ref=mp_s_a_1_1?adgrpid=52818231741&dib=eyJ2IjoiMSJ9.a8erLujjsQ6Nas1Nnt0gHs8Ix_UXvP-vK3t1Mf56LO7yKZFtwGHWp6vb9zCP6ebBkp5RjKvsaRq6Ixa4GNJ100DAz88_gPrBE5dMEqvBGATgujqya0BDSwIhFH3rzNbxrLKFsqHt3cXux4Coxz_bCeXJ22cWqAbqGY425uId5mF5i6K_-QI321XDJhTz9kg0dznnCNmCEA28wxoriiln-A.WiQem0v-vl0B5eOLl9rVBlC_yvuQSDcJ2_MzqvUgV1s&dib_tag=se&hvadid=557393986547&hvdev=m&hvlocphy=9033340&hvnetw=g&hvqmt=e&hvrand=15999128393154467724&hvtargid=kwd-302865423591&hydadcr=20547_13296484&keywords=sonos+play+1+speaker&qid=1719277667&sr=8-1,$229.92,TRUE
aarke 3 water carbonator ,https://aarke.us/products/carbonator-3-sand?_gl=1*77tmow*_up*MQ..*_ga*MTA2NDIxODU2MC4xNzE5Mjc4OTUz*_ga_X5TVN0F3GL*MTcxOTI3ODk1Mi4xLjAuMTcxOTI3ODk1Mi4wLjAuMA..,$229.00,TRUE
Atlas 150 Pasta Maker,https://www.surlatable.com/marcato-atlas-150-classic-pasta-maker-with-2-ravioli-stamps/PRO-6662217.html? mrkgadid=1&mrkgen=gpla&mrkgbflag=0&mrkgcat=cat&acctid=21700000001683301&dskeywordid=92700075745773184&lid=92700075745773184&ds_s_kwgid=58700008330006329&ds_s_inventory_feed_id=97700000008343482&dsproductgroupid=1989471809176&product_id=8523664&merchid=5755698&prodctry=US&prodlang=en&channel=local&storeid=%7Bproduct_store_id%7D&device=c&network=g&matchtype=&locationid=%7Bloc_phyiscal_ms%7D&creative=652314810701&targetid=pla-1989471809176&campaignid=803390144&adgroupid=150346935074&&affsrcid=AFF0005&utm_source=google&utm_medium=cpc&utm_term=&utm_campaign=803390144&creative=652314810701&device=c&matchtype=&nbt=nb%3Aadwords%3Ag%3A803390144%3A150346935074%3A652314810701&nb_adtype=pla&nb_kwd=&nb_ti=pla-1989471809176&nb_mi=5755698&nb_pc=local&nb_pi=8523664&nb_ppi=1989471809176&nb_placement=&nb_li_ms=&nb_lp_ms=&nb_fii=&nb_ap=&nb_mt=&gad_source=1&gclid=Cj0KCQjwsuSzBhCLARIsAIcdLm7Ka4MH2lbHkLbwAv4mx42dfPwvvTRArjOMvnNBzAMYVcxl11cTBH0aAkzWEALw_wcB&gclsrc=aw.ds,$134.94,TRUE
Gathre Playset ,https://www.westelm.com/products/lcl-gathre-block-playset-d15830/?pkey=cgathre&position=14,$419.00,TRUE
FoodSaver - FM 5460 ,https://www.foodsaver.com/deals/vacuum-sealers/foodsaver-fm5460-2-in-1-food-preservation-system---same-great-product-new-look/SAP_2170110.html?utm_source=google&utm_medium=cpc&utm_campaign=DAC_FoodSaver_GoogleAds_PMax%20Shopping_Appliances_Always%20On&gad_source=1&gclid=CjwKCAjw1emzBhB8EiwAHwZZxXpuJ7EISthT0ktqjHtjW9q25z-wHZTkoU4MPNBGEDPk6nF9A3BHkhoCSHgQAvD_BwE&actionPoint=Show,$230.98,TRUE
Green Accent Chair,https://www.totallyfurniture.com/florence-fabric-accent-chair-new-pacific-direct-1250010-400,$462.00,TRUE